symbol,sector,industry,source
BANKBEES,Etf,EQUITY,yahoo
BANKINDIA,Financial Services,Banks - Regional,yahoo
BASF,Basic Materials,Specialty Chemicals,yahoo
BATAINDIA,Consumer Cyclical,Footwear & Accessories,yahoo
BAYERCROP,Basic Materials,Agricultural Inputs,yahoo
BBL,Industrials,Electrical Equipment & Parts,yahoo
BBOX,Technology,Software - Application,yahoo
BDL,Industrials,Aerospace & Defense,yahoo
BECTORFOOD,Consumer Defensive,Packaged Foods,yahoo
BEL,Industrials,Aerospace & Defense,yahoo
BELRISE,Consumer Cyclical,Auto Parts,yahoo
BEML,Industrials,Conglomerates,yahoo
BEPL,Basic Materials,Chemicals,yahoo
BERGEPAINT,Basic Materials,Specialty Chemicals,yahoo
BETA,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
BHAGYANGR,Basic Materials,Copper,yahoo
BHARATCOAL,Basic Materials,Coking Coal,yahoo
BHARATFORG,Consumer Cyclical,Auto Parts,yahoo
BHARTIARTL,Communication Services,Telecom Services,yahoo
BHARTIHEXA,Communication Services,Telecom Services,yahoo
BHEL,Industrials,Specialty Industrial Machinery,yahoo
BI,Consumer Cyclical,Packaging & Containers,yahoo
BIOCON,Healthcare,Biotechnology,yahoo
BLACKBUCK,Technology,Software - Application,yahoo
BLEL,Basic Materials,Steel,yahoo
BLS,Industrials,Specialty Business Services,yahoo
BLSE,Industrials,Specialty Business Services,yahoo
BLUEJET,Healthcare,Biotechnology,yahoo
BLUESTARCO,Industrials,Building Products & Equipment,yahoo
BLUESTONE,Consumer Cyclical,Luxury Goods,yahoo
BLUSPRING,Industrials,Specialty Business Services,yahoo
BORORENEW,Technology,Solar,yahoo
BOSCH-HCIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
BOSCHLTD,Consumer Cyclical,Auto Parts,yahoo
BPCL,Energy,Oil & Gas Refining & Marketing,yahoo
BRIGADE,Real Estate,Real Estate - Development,yahoo
BRITANNIA,Consumer Defensive,Packaged Foods,yahoo
BSE,Financial Services,Financial Data & Stock Exchanges,yahoo
BSLGOLDETF,Etf,EQUITY,yahoo
BSOFT,Technology,Information Technology Services,yahoo
CAMLINFINE,Basic Materials,Specialty Chemicals,yahoo
CAMPUS,Consumer Cyclical,Footwear & Accessories,yahoo
CAMS,Technology,Information Technology Services,yahoo
CANBK,Financial Services,Banks - Regional,yahoo
CANFINHOME,Financial Services,Mortgage Finance,yahoo
CANHLIFE,Financial Services,Insurance - Life,yahoo
CANTABIL,Consumer Cyclical,Apparel Manufacturing,yahoo
CAPILLARY,Technology,Software - Infrastructure,yahoo
CAPLIPOINT,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
CARBORUNIV,Industrials,Conglomerates,yahoo
CARERATING,Financial Services,Financial Data & Stock Exchanges,yahoo
CARTRADE,Consumer Cyclical,Auto & Truck Dealerships,yahoo
CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
CASHIETF,Etf,EQUITY,yahoo
CASTROLIND,Energy,Oil & Gas Refining & Marketing,yahoo
CCL,Consumer Defensive,Packaged Foods,yahoo
CDSL,Financial Services,Capital Markets,yahoo
CEATLTD,Consumer Cyclical,Auto Parts,yahoo
CEIGALL,Industrials,Engineering & Construction,yahoo
CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
CEMPRO,Industrials,Engineering & Construction,yahoo
CENTRALBK,Financial Services,Banks - Regional,yahoo
CENTUM,Technology,Electronic Components,yahoo
CESC,Utilities,Utilities - Regulated Electric,yahoo
CEWATER,Utilities,Utilities - Regulated Water,yahoo
CGCL,Financial Services,Credit Services,yahoo
CGPOWER,Industrials,Electrical Equipment & Parts,yahoo
CHALET,Consumer Cyclical,Lodging,yahoo
CHAMBLFERT,Basic Materials,Agricultural Inputs,yahoo
CHENNPETRO,Energy,Oil & Gas Refining & Marketing,yahoo
CHOICEIN,Financial Services,Capital Markets,yahoo
CHOLAFIN,Financial Services,Credit Services,yahoo
CHOLAHLDNG,Financial Services,Credit Services,yahoo
CIEINDIA,Consumer Cyclical,Auto Parts,yahoo
CIPLA,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
CLEAN,Basic Materials,Specialty Chemicals,yahoo
CLEANMAX,Utilities,Utilities - Renewable,yahoo
CMLL,Energy,Thermal Coal,yahoo
CMPDI,Basic Materials,Other Industrial Metals & Mining,yahoo
CMRGREEN,Basic Materials,Aluminum,yahoo
CMSINFO,Industrials,Specialty Business Services,yahoo
COALINDIA,Energy,Thermal Coal,yahoo
COCHINSHIP,Industrials,Aerospace & Defense,yahoo
COCKERILL,Industrials,Metal Fabrication,yahoo
COFORGE,Technology,Information Technology Services,yahoo
COHANCE,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
COLPAL,Consumer Defensive,Household & Personal Products,yahoo
CONCOR,Industrials,Railroads,yahoo
CONCORDBIO,Healthcare,Biotechnology,yahoo
CONFIPET,Energy,Oil & Gas Refining & Marketing,yahoo
CORDELIA,Industrials,Marine Shipping,yahoo
COROMANDEL,Basic Materials,Agricultural Inputs,yahoo
CPPLUS,Industrials,Building Products & Equipment,yahoo
CPSEETF,Etf,EQUITY,yahoo
CRAFTSMAN,Consumer Cyclical,Auto Parts,yahoo
CRAMC,Financial Services,Asset Management,yahoo
CREDITACC,Financial Services,Credit Services,yahoo
CRISIL,Financial Services,Financial Data & Stock Exchanges,yahoo
CROMPTON,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
CSBBANK,Financial Services,Banks - Regional,yahoo
CUB,Financial Services,Banks - Regional,yahoo
CUMMINSIND,Industrials,Specialty Industrial Machinery,yahoo
CUPID,Consumer Defensive,Household & Personal Products,yahoo
CYIENT,Industrials,Conglomerates,yahoo
CYIENTDLM,Industrials,Aerospace & Defense,yahoo
DABUR,Consumer Defensive,Household & Personal Products,yahoo
DALBHARAT,Basic Materials,Building Materials,yahoo
DALMIASUG,Consumer Defensive,Confectioners,yahoo
DATAPATTNS,Industrials,Aerospace & Defense,yahoo
DBOL,Consumer Defensive,Farm Products,yahoo
DBREALTY,Real Estate,Real Estate - Development,yahoo
DCAL,Healthcare,Biotechnology,yahoo
DCBBANK,Financial Services,Banks - Regional,yahoo
DCMSHRIRAM,Industrials,Conglomerates,yahoo
DECNGOLD,Basic Materials,Gold,yahoo
DEEDEV,Industrials,Metal Fabrication,yahoo
DEEPAKFERT,Basic Materials,Chemicals,yahoo
DEEPAKNTR,Basic Materials,Chemicals,yahoo
DEEPINDS,Energy,Oil & Gas E&P,yahoo
DELHIVERY,Industrials,Integrated Freight & Logistics,yahoo
DEVYANI,Consumer Cyclical,Restaurants,yahoo
DHAMPURSUG,Consumer Defensive,Confectioners,yahoo
DHOOTTRANS,Consumer Cyclical,Auto Parts,yahoo
DIVGIITTS,Consumer Cyclical,Auto Parts,yahoo
DIVISLAB,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
DIXON,Technology,Consumer Electronics,yahoo
DLF,Real Estate,Real Estate - Development,yahoo
DMART,Consumer Defensive,Discount Stores,yahoo
DOLPHIN,Energy,Oil & Gas Equipment & Services,yahoo
DREDGECORP,Industrials,Engineering & Construction,yahoo
DRREDDY,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
DWARKESH,Consumer Defensive,Confectioners,yahoo
DYCL,Industrials,Electrical Equipment & Parts,yahoo
DYNAMATECH,Consumer Cyclical,Auto Parts,yahoo
EBGNG,Technology,Computer Hardware,yahoo
ECLERX,Technology,Information Technology Services,yahoo
EDELWEISS,Financial Services,Financial Conglomerates,yahoo
EFCIL,Real Estate,Real Estate Services,yahoo
EICHERMOT,Consumer Cyclical,Auto Manufacturers,yahoo
EIDPARRY,Basic Materials,Agricultural Inputs,yahoo
EIEL,Industrials,Engineering & Construction,yahoo
EIMCOELECO,Industrials,Farm & Heavy Construction Machinery,yahoo
ELECON,Industrials,Specialty Industrial Machinery,yahoo
ELGIEQUIP,Industrials,Specialty Industrial Machinery,yahoo
ELLEN,Basic Materials,Chemicals,yahoo
EMAMILTD,Consumer Defensive,Household & Personal Products,yahoo
EMBDL,Real Estate,Real Estate - Diversified,yahoo
EMCURE,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
EMIL,Consumer Cyclical,Specialty Retail,yahoo
EMMVEE,Technology,Solar,yahoo
EMSLIMITED,Industrials,Engineering & Construction,yahoo
EMUDHRA,Technology,Software - Application,yahoo
ENDURANCE,Consumer Cyclical,Auto Parts,yahoo
ENGINERSIN,Industrials,Engineering & Construction,yahoo
ENRIN,Utilities,Utilities - Renewable,yahoo
ENTERO,Healthcare,Medical Distribution,yahoo
EPACKPEB,Industrials,Engineering & Construction,yahoo
EPIGRAL,Basic Materials,Chemicals,yahoo
EPL,Consumer Cyclical,Packaging & Containers,yahoo
EQUITASBNK,Financial Services,Banks - Regional,yahoo
ERIS,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
ESCORTS,Industrials,Farm & Heavy Construction Machinery,yahoo
ETERNAL,Consumer Cyclical,Internet Retail,yahoo
ETHOSLTD,Consumer Cyclical,Luxury Goods,yahoo
EUREKAFORB,Consumer Cyclical,"Furnishings, Fixtures & Appliances",yahoo
EXICOM,Industrials,Electrical Equipment & Parts,yahoo
EXIDEIND,Consumer Cyclical,Auto Parts,yahoo
FACT,Basic Materials,Agricultural Inputs,yahoo
FCL,Basic Materials,Specialty Chemicals,yahoo
FEDERALBNK,Financial Services,Banks - Regional,yahoo
FEDFINA,Financial Services,Credit Services,yahoo
FIEMIND,Consumer Cyclical,Auto Parts,yahoo
FILATEX,Consumer Cyclical,Textile Manufacturing,yahoo
FINCABLES,Industrials,Electrical Equipment & Parts,yahoo
FINEORG,Basic Materials,Specialty Chemicals,yahoo
FIRSTCRY,Consumer Cyclical,Internet Retail,yahoo
FIVESTAR,Financial Services,Credit Services,yahoo
FLUOROCHEM,Basic Materials,Specialty Chemicals,yahoo
FMCGIETF,Etf,EQUITY,yahoo
FORCEMOT,Consumer Cyclical,Auto Manufacturers,yahoo
FORTIS,Healthcare,Medical Care Facilities,yahoo
FRACTAL,Technology,Software - Infrastructure,yahoo
FSL,Technology,Information Technology Services,yahoo
FUSION,Financial Services,Credit Services,yahoo
GABRIEL,Consumer Cyclical,Auto Parts,yahoo
GAEL,Consumer Defensive,Packaged Foods,yahoo
GAIL,Utilities,Utilities - Regulated Gas,yahoo
GALAXYSURF,Basic Materials,Specialty Chemicals,yahoo
GANDHAR,Energy,Oil & Gas Refining & Marketing,yahoo
GANECOS,Consumer Cyclical,Textile Manufacturing,yahoo
GCSL,Financial Services,Capital Markets,yahoo
GENESYS,Technology,Software - Application,yahoo
GENUSPOWER,Industrials,Electrical Equipment & Parts,yahoo
GESHIP,Industrials,Marine Shipping,yahoo
GHCLTEXTIL,Consumer Cyclical,Textile Manufacturing,yahoo
GICRE,Financial Services,Insurance - Reinsurance,yahoo
GILLETTE,Consumer Defensive,Household & Personal Products,yahoo
GIPCL,Utilities,Utilities - Regulated Electric,yahoo
GKSL,Healthcare,Medical Care Facilities,yahoo
GLAND,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
GLAXO,Healthcare,Drug Manufacturers - General,yahoo
GLENMARK,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
GMDCLTD,Energy,Thermal Coal,yahoo
GMMPFAUDLR,Industrials,Specialty Industrial Machinery,yahoo
GMRAIRPORT,Industrials,Airports & Air Services,yahoo
GMRP&UI,Energy,Thermal Coal,yahoo
GNA,Consumer Cyclical,Auto Parts,yahoo
GNFC,Basic Materials,Chemicals,yahoo
GOCOLORS,Consumer Cyclical,Apparel Retail,yahoo
GODFRYPHLP,Consumer Defensive,Tobacco,yahoo
GODIGIT,Financial Services,Insurance - Property & Casualty,yahoo
GODREJAGRO,Consumer Defensive,Packaged Foods,yahoo
GODREJCP,Consumer Defensive,Household & Personal Products,yahoo
GODREJIND,Industrials,Conglomerates,yahoo
GODREJPROP,Real Estate,Real Estate - Development,yahoo
GOKEX,Consumer Cyclical,Apparel Manufacturing,yahoo
GOKULAGRO,Consumer Defensive,Packaged Foods,yahoo
GOLD1,Etf,EQUITY,yahoo
GOLDAXIS,Etf,EQUITY,yahoo
GOLDBEES,Etf,EQUITY,yahoo
GOLDBETA,Etf,EQUITY,yahoo
GOLDCASE,Etf,EQUITY,yahoo
GOLDETF,Etf,EQUITY,yahoo
GOLDIAM,Consumer Cyclical,Luxury Goods,yahoo
GOLDIETF,Etf,EQUITY,yahoo
GOODLUCK,Basic Materials,Steel,yahoo
GPIL,Basic Materials,Steel,yahoo
GPPL,Industrials,Marine Shipping,yahoo
GRANULES,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
GRAPHITE,Industrials,Electrical Equipment & Parts,yahoo
GRASIM,Basic Materials,Building Materials,yahoo
GRAVITA,Industrials,Metal Fabrication,yahoo
GREAVESCOT,Industrials,Specialty Industrial Machinery,yahoo
GRMOVER,Consumer Defensive,Packaged Foods,yahoo
GROWW,Financial Services,Capital Markets,yahoo
GRSE,Industrials,Aerospace & Defense,yahoo
GRWRHITECH,Basic Materials,Specialty Chemicals,yahoo
GSFC,Basic Materials,Agricultural Inputs,yahoo
GSPCROP,Basic Materials,Agricultural Inputs,yahoo
GUJENERGY,Utilities,Utilities - Regulated Gas,yahoo
GUJTHEM,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
GVPIL,Industrials,Engineering & Construction,yahoo
GVT&D,Industrials,Specialty Industrial Machinery,yahoo
HAL,Industrials,Aerospace & Defense,yahoo
HAPPSTMNDS,Technology,Information Technology Services,yahoo
HAPPYFORGE,Industrials,Metal Fabrication,yahoo
HARSHA,Industrials,Tools & Accessories,yahoo
HAVELLS,Industrials,Electrical Equipment & Parts,yahoo
HBLENGINE,Industrials,Electrical Equipment & Parts,yahoo
HCC,Industrials,Engineering & Construction,yahoo
HCG,Healthcare,Medical Care Facilities,yahoo
HCLTECH,Technology,Information Technology Services,yahoo
HDBFS,Financial Services,Credit Services,yahoo
HDFCAMC,Financial Services,Asset Management,yahoo
HDFCBANK,Financial Services,Banks - Regional,yahoo
HDFCGOLD,Etf,EQUITY,yahoo
HDFCLIFE,Financial Services,Insurance - Life,yahoo
HDFCSILVER,Etf,EQUITY,yahoo
HDFCSML250,Etf,EQUITY,yahoo
HEG,Industrials,Electrical Equipment & Parts,yahoo
HERITGFOOD,Consumer Defensive,Packaged Foods,yahoo
HEROMOTOCO,Consumer Cyclical,Auto Manufacturers,yahoo
HEXT,Technology,Information Technology Services,yahoo
HFCL,Technology,Communication Equipment,yahoo
HINDALCO,Basic Materials,Aluminum,yahoo
HINDCOPPER,Basic Materials,Copper,yahoo
HINDOILEXP,Energy,Oil & Gas E&P,yahoo
HINDPETRO,Energy,Oil & Gas Refining & Marketing,yahoo
HINDUNILVR,Consumer Defensive,Household & Personal Products,yahoo
HINDZINC,Basic Materials,Other Industrial Metals & Mining,yahoo
HIRECT,Industrials,Electrical Equipment & Parts,yahoo
HLEGLAS,Industrials,Specialty Industrial Machinery,yahoo
HMAAGRO,Consumer Defensive,Packaged Foods,yahoo
HNDFDS,Industrials,Conglomerates,yahoo
HOMEFIRST,Financial Services,Mortgage Finance,yahoo
HONASA,Consumer Defensive,Household & Personal Products,yahoo
HONAUT,Industrials,Electrical Equipment & Parts,yahoo
HSCL,Basic Materials,Specialty Chemicals,yahoo
HUDCO,Financial Services,Credit Services,yahoo
HYUNDAI,Consumer Cyclical,Auto Manufacturers,yahoo
IBULLSLTD,Real Estate,Real Estate - Development,yahoo
ICICIAMC,Financial Services,Asset Management,yahoo
ICICIBANK,Financial Services,Banks - Regional,yahoo
ICICIGI,Financial Services,Insurance - Diversified,yahoo
ICICIPRULI,Financial Services,Insurance - Life,yahoo
ICIL,Consumer Cyclical,Textile Manufacturing,yahoo
ICRA,Financial Services,Financial Data & Stock Exchanges,yahoo
IDBI,Financial Services,Banks - Regional,yahoo
IDEAFORGE,Technology,Computer Hardware,yahoo
IDFCFIRSTB,Financial Services,Banks - Regional,yahoo
IEX,Financial Services,Capital Markets,yahoo
IFCI,Financial Services,Credit Services,yahoo
IGIL,Basic Materials,Other Precious Metals & Mining,yahoo
IGL,Utilities,Utilities - Regulated Gas,yahoo
IIFL,Financial Services,Credit Services,yahoo
IKS,Healthcare,Health Information Services,yahoo
IMFA,Basic Materials,Other Industrial Metals & Mining,yahoo
INDGN,Healthcare,Health Information Services,yahoo
INDHOTEL,Consumer Cyclical,Lodging,yahoo
INDIAGLYCO,Basic Materials,Chemicals,yahoo
INDIAMART,Communication Services,Internet Content & Information,yahoo
INDIANB,Financial Services,Banks - Regional,yahoo
INDIGO,Industrials,Airlines,yahoo
INDIGOPNTS,Basic Materials,Specialty Chemicals,yahoo
INDOBORAX,Basic Materials,Chemicals,yahoo
INDOMIM,Industrials,Metal Fabrication,yahoo
INDOTECH,Industrials,Electrical Equipment & Parts,yahoo
INDSWFTLAB,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
INDUSINDBK,Financial Services,Banks - Regional,yahoo
INDUSTOWER,Communication Services,Telecom Services,yahoo
INFY,Technology,Information Technology Services,yahoo
INGERRAND,Industrials,Specialty Industrial Machinery,yahoo
INOXGREEN,Utilities,Utilities - Renewable,yahoo
INOXINDIA,Industrials,Specialty Industrial Machinery,yahoo
INOXWIND,Industrials,Specialty Industrial Machinery,yahoo
INTELLECT,Technology,Software - Application,yahoo
INTERARCH,Industrials,Engineering & Construction,yahoo
IOB,Financial Services,Banks - Regional,yahoo
IOC,Energy,Oil & Gas Refining & Marketing,yahoo
IOLCP,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
IONEXCHANG,Industrials,Pollution & Treatment Controls,yahoo
IPCALAB,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
IRCON,Industrials,Engineering & Construction,yahoo
IRCTC,Consumer Cyclical,Travel Services,yahoo
IREDA,Financial Services,Credit Services,yahoo
IRFC,Financial Services,Credit Services,yahoo
IRISDOREME,Consumer Cyclical,Apparel Manufacturing,yahoo
ISGEC,Industrials,Specialty Industrial Machinery,yahoo
ITBEES,Etf,EQUITY,yahoo
ITC,Consumer Defensive,Tobacco,yahoo
ITCHOTELS,Consumer Cyclical,Resorts & Casinos,yahoo
IXIGO,Consumer Cyclical,Travel Services,yahoo
IZMO,Technology,Software - Application,yahoo
J&KBANK,Financial Services,Banks - Regional,yahoo
JAINREC,Basic Materials,Other Industrial Metals & Mining,yahoo
JAMNAAUTO,Consumer Cyclical,Auto Parts,yahoo
JAYNECOIND,Basic Materials,Steel,yahoo
JBMA,Consumer Cyclical,Auto Parts,yahoo
JGCHEM,Basic Materials,Other Industrial Metals & Mining,yahoo
JINDALSAW,Basic Materials,Steel,yahoo
JINDALSTEL,Basic Materials,Steel,yahoo
JINDRILL,Energy,Oil & Gas Equipment & Services,yahoo
JIOFIN,Financial Services,Asset Management,yahoo
JKCEMENT,Basic Materials,Building Materials,yahoo
JKLAKSHMI,Basic Materials,Building Materials,yahoo
JKPAPER,Basic Materials,Paper & Paper Products,yahoo
JKTYRE,Consumer Cyclical,Auto Parts,yahoo
JMFINANCIL,Financial Services,Capital Markets,yahoo
JNKINDIA,Industrials,Specialty Industrial Machinery,yahoo
JNPR,Utilities,Utilities - Renewable,yahoo
JSFB,Financial Services,Banks - Regional,yahoo
JSL,Basic Materials,Steel,yahoo
JSLL,Healthcare,Medical Care Facilities,yahoo
JSWCEMENT,Basic Materials,Building Materials,yahoo
JSWENERGY,Utilities,Utilities - Independent Power Producers,yahoo
JSWINFRA,Industrials,Marine Shipping,yahoo
JSWSTEEL,Basic Materials,Steel,yahoo
JTLIND,Basic Materials,Steel,yahoo
JUBLFOOD,Consumer Cyclical,Restaurants,yahoo
JUBLINGREA,Basic Materials,Specialty Chemicals,yahoo
JUBLPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,yahoo
JUNIORBEES,Etf,EQUITY,yahoo
JUNIPER,Consumer Cyclical,Lodging,yahoo
JUSTDIAL,Communication Services,Internet Content & Information,yahoo
JWL,Industrials,Railroads,yahoo
JYOTHYLAB,Consumer Defensive,Household & Personal Products,yahoo
JYOTICNC,Industrials,Specialty Industrial Machinery,yahoo
KABRAEXTRU,Industrials,Specialty Industrial Machinery,yahoo
KAJARIACER,Industrials,Building Products & Equipment,yahoo
KALYANKJIL,Consumer Cyclical,Luxury Goods,yahoo
KARURVYSYA,Financial Services,Banks - Regional,yahoo
KAYNES,Technology,Electronic Components,yahoo
KDDL,Consumer Cyclical,Luxury Goods,yahoo
KEC,Industrials,Engineering & Construction,yahoo
KEI,Industrials,Electrical Equipment & Parts,yahoo
KENNAMET,Industrials,Tools & Accessories,yahoo
KERNEX,Technology,Software - Application,yahoo
KFINTECH,Technology,Software - Application,yahoo
KIMS,Healthcare,Medical Care Facilities,yahoo
KINGFA,Basic Materials,Specialty Chemicals,yahoo
KIRIINDUS,Basic Materials,Specialty Chemicals,yahoo
KIRLOSBROS,Industrials,Specialty Industrial Machinery,yahoo
KIRLOSENG,Industrials,Specialty Industrial Machinery,yahoo
KIRLPNU,Industrials,Specialty Industrial Machinery,yahoo
